Funding Org:Name,Date,DocumentWeight,Amount Awarded,Identifier,Topic
BBC Children in Need,2014,0.0804884928473,235165.0,3,topic1
BBC Children in Need,2015,0.0533234470946,18988.0,2,topic1
Barrow Cadbury Trust,2013,0.0306607229984,30000.0,1,topic1
Birmingham City Council,2014,0.064457699821,164804.65,2,topic1
Cheshire Community Foundation,2016,0.0262072191709,9900.0,1,topic1
Cheshire Community Foundation,2017,0.0803156063868,13995.0,3,topic1
Co-operative Group,2017,0.160831874933,14886.0,6,topic1
Comic Relief ,2015,0.127893341634,1030622.0,4,topic1
Comic Relief ,2016,0.128313722153,418903.0,4,topic1
Comic Relief ,2017,0.0306607229984,114338.0,1,topic1
Community Foundation serving Tyne & Wear and Northumberland,2015,0.152267985168,46160.0,5,topic1
Community Foundation serving Tyne & Wear and Northumberland,2016,0.258345586931,75669.0,9,topic1
Community Foundation serving Tyne & Wear and Northumberland,2017,0.354585809126,32304.0,10,topic1
Esmée Fairbairn Foundation,2008,0.0250476564944,92910.0,1,topic1
Esmée Fairbairn Foundation,2012,0.0260826288324,80000.0,1,topic1
Essex Community Foundation,2017,0.0547127887733,900.0,2,topic1
Greenham Common Trust,2016,0.0252077575166,2287.5,1,topic1
Heart Of England Community Foundation,2016,0.0310822406763,1500.0,1,topic1
Joseph Rowntree Foundation,2018,0.0264577641766,5405.0,1,topic1
Lloyds Bank Foundation for England and Wales,2013,0.0558784847785,45000.0,2,topic1
Lloyds Bank Foundation for England and Wales,2014,0.088784077114,53450.0,3,topic1
London Catalyst,2014,0.0310822406763,750.0,1,topic1
London Catalyst,2015,0.0310822406763,750.0,1,topic1
Northern Rock Foundation,2010,0.0261305739659,15972.0,1,topic1
Northern Rock Foundation,2011,0.0254184708443,40000.0,1,topic1
Oxfordshire Community Foundation,2017,0.0806799193855,10430.0,3,topic1
Paul Hamlyn Foundation,2006,0.0566018233085,10000.0,2,topic1
Paul Hamlyn Foundation,2007,0.0777220738836,273688.0,3,topic1
Paul Hamlyn Foundation,2011,0.0507958378073,176500.0,2,topic1
Paul Hamlyn Foundation,2012,0.0263410706837,147000.0,1,topic1
Paul Hamlyn Foundation,2014,0.0257281662482,152068.0,1,topic1
Paul Hamlyn Foundation,2016,0.0842129755265,105000.0,3,topic1
Quartet Community Foundation,2016,0.0617300496398,750.0,2,topic1
Quartet Community Foundation,2017,0.174192819393,9700.0,6,topic1
Quartet Community Foundation,2018,0.0560574566015,700.0,2,topic1
R S Macdonald Charitable Trust,2016,0.02629401757,16000.0,1,topic1
Sport England,2009,0.031973950014,10000.0,1,topic1
Sport England,2010,0.031973950014,10000.0,1,topic1
Sport England,2011,0.0547316017262,11727.0,2,topic1
Sport England,2013,0.0257812622539,8000.0,1,topic1
Sport England,2014,0.0265248282568,9856.0,1,topic1
Sport England,2015,0.0298626332005,7248.0,1,topic1
Sport England,2017,0.0265248282568,10000.0,1,topic1
The Big Lottery Fund,2004,0.191461892755,564426.0,7,topic1
The Big Lottery Fund,2005,0.881483974556,2254561.0,33,topic1
