Identifier,Title,Description,Award Date,Amount Awarded,Funding Org:Identifier,Funding Org:Name,DocumentWeight
360G-woodward:WCT167,Children's A&E Centr,Children's A&E Centr,1998-02-02,10000.0,GB-CHC-299963,Woodward Charitable Trust,0.0466390417366
360G-CFTyneWearNland-171579,Towards Arthritis in Children Fund,Towards Arthritis in Children Fund,2016-12-07T00:00:00+00:00,250.0,GB-COH-02273708,Community Foundation serving Tyne & Wear and Northumberland,0.0466390417366
360G-dulverton-006D000000MJrPm,sibling camps for brothers and sisters of children who stay at the hospice,sibling camps for brothers and sisters of children who stay at the hospice,2008-07-23T00:00:00+00:00,3000.0,GB-COH-07991677,The Dulverton Trust,0.0466390417366
360G-Wellcome-108657_Z_15_Z,Modernist Children.,Not available,2015-05-19T00:00:00+00:00,5790.0,GB-CHC-210183,The Wellcome Trust,0.0466390417366
360G-PearsFdn-3865,Grant to Coram,Migrant Children's Project,2016-04-12T00:00:00+00:00,50000.0,GB-CHC-1009195,Pears Foundation,0.0466390417366
360G-truecolours:TCT1383,One to One support programme,Towards its One to One support programme for bereaved children.,2016-07-12,5000.0,GB-CHC-1089893,True Colours Trust,0.0466390417366
360G-ocf-a061600000iWbb5,Traveller support,Welcoming Traveller children to our playschemes,2015-12-08T00:00:00+00:00,2000.0,GB-CHC-1151621,Oxfordshire Community Foundation,0.0466390417366
360G-CR-1133075,Ending the institutionalisation of children in Haiti ,Ending the institutionalisation of children in Haiti ,2015-05-27T00:00:00+00:00,277657.0,GB-CHC-326568 ,Comic Relief ,0.0466390417366
360G-dulverton-006D000000MJrPA,the Children's Features,the Children's Features,2008-05-08T00:00:00+00:00,15000.0,GB-COH-07991677,The Dulverton Trust,0.0466390417366
360G-dulverton-006D000000MJrHY,Towards the children's programme,Towards the children's programme,2006-10-24T00:00:00+00:00,2000.0,GB-COH-07991677,The Dulverton Trust,0.0466390417366
360G-blf-0031013336,Empowering Looked After Children Through Riding,Not Available,2014-08-27,9936.0,360G-blf,The Big Lottery Fund,0.0466390417366
360G-CFTyneWearNland-170850,Towards Project 2 - work with children,Towards Project 2 - work with children,2016-09-01T00:00:00+00:00,1200.0,GB-COH-02273708,Community Foundation serving Tyne & Wear and Northumberland,0.0466390417366
360G-blf-0031015147,Children's Freedom Project - Moving On,Not Available,2014-10-15,10000.0,360G-blf,The Big Lottery Fund,0.0466390417366
360G-dulverton-006D000000MJrVz,tree planting by children at Heartwood,tree planting by children at Heartwood,2010-02-09T00:00:00+00:00,30000.0,GB-COH-07991677,The Dulverton Trust,0.0466390417366
360G-wolfson-20258,Grant to Alexander Devine Children's Hospice,New Children's Hospice,2015-06-11,150000.0,GB-CHC-1156077,Wolfson Foundation,0.0466390417366
360G-CFTyneWearNland-162072,Support for bereaved children in Gateshead,Support for bereaved children in Gateshead,2016-02-24T00:00:00+00:00,10000.0,GB-COH-02273708,Community Foundation serving Tyne & Wear and Northumberland,0.0466390417366
360G-blf-0031003865,C.H.A.T. (Children Heard Today),C.H.A.T. (Children Heard Today),2014-02-03,2708.0,360G-blf,The Big Lottery Fund,0.0466390417366
