Funding Org:Name,Date,DocumentWeight,Amount Awarded,Identifier,Topic
BBC Children in Need,2015,0.031132157949,9989.0,1,topic9
Barrow Cadbury Trust,2012,0.0323908995373,32000.0,1,topic9
Barrow Cadbury Trust,2017,0.0318560242217,26988.0,1,topic9
Birmingham City Council,2014,0.353763835792,298898.5,9,topic9
Birmingham City Council,2015,0.346651603838,611058.17,9,topic9
Birmingham City Council,2016,0.340186554963,314930.04,9,topic9
Birmingham City Council,2017,0.0731049797214,25952.2,2,topic9
Co-operative Group,2017,0.098251524557,7100.55,3,topic9
Comic Relief ,2015,0.0332140964431,365943.0,1,topic9
Comic Relief ,2016,0.0325620837454,119975.0,1,topic9
Community Foundation for Surrey,2016,0.0652965791974,6746.0,2,topic9
Community Foundation for Surrey,2017,0.0319619609884,2889.0,1,topic9
Community Foundation serving Tyne & Wear and Northumberland,2015,0.0392501422842,2700.0,1,topic9
Community Foundation serving Tyne & Wear and Northumberland,2016,0.141106289851,10507.0,4,topic9
Community Foundation serving Tyne & Wear and Northumberland,2017,0.0684058569752,4420.0,2,topic9
Esmée Fairbairn Foundation,2008,0.0321628514775,37294.0,1,topic9
Esmée Fairbairn Foundation,2014,0.0356806384037,120000.0,1,topic9
Essex Community Foundation,2016,0.103010588407,12000.0,3,topic9
Essex Community Foundation,2017,0.10233622992,21990.0,3,topic9
Greenham Common Trust,2016,0.0323667694069,2850.0,1,topic9
Heart Of England Community Foundation,2016,0.0735993290742,2286.0,2,topic9
Heart Of England Community Foundation,2017,0.0358598484156,4000.0,1,topic9
Lloyds Bank Foundation for England and Wales,2010,0.0648322589856,31500.0,2,topic9
Lloyds Bank Foundation for England and Wales,2013,0.0702330367719,34000.0,2,topic9
Lloyds Bank Foundation for England and Wales,2014,0.0366113605137,21600.0,1,topic9
Lloyds Bank Foundation for England and Wales,2017,0.140996836444,228535.0,4,topic9
London Catalyst,2012,0.0809066503392,3500.0,2,topic9
London Catalyst,2014,0.0350746115385,3000.0,1,topic9
London Catalyst,2015,0.0672496759966,11640.0,2,topic9
London Catalyst,2016,0.0672541149919,5500.0,2,topic9
London Catalyst,2017,0.0429060057841,3000.0,1,topic9
Macc,2016,0.0345029832212,8009.52,1,topic9
Nesta,2018,0.0426367865261,30000.0,1,topic9
Northern Rock Foundation,1998,0.0368147682509,18000.0,1,topic9
Oxfordshire Community Foundation,2014,0.444019703092,68500.0,13,topic9
Oxfordshire Community Foundation,2015,0.229422376141,17928.0,7,topic9
Somerset Community Foundation,2016,0.0309327439281,4000.0,1,topic9
Sport England,2013,0.0309376191112,3200.0,1,topic9
The Big Lottery Fund,2004,0.139152764343,109202.0,4,topic9
The Big Lottery Fund,2005,0.428320436564,1326864.0,13,topic9
The Big Lottery Fund,2006,0.39581544416,675419.0,12,topic9
The Big Lottery Fund,2007,0.507388634324,5862231.0,15,topic9
The Big Lottery Fund,2008,0.193120411259,12021069.0,6,topic9
The Big Lottery Fund,2009,0.196165979631,1307924.0,6,topic9
The Big Lottery Fund,2010,0.507878000749,318072.0,15,topic9
The Big Lottery Fund,2011,0.709619764299,1345301.0,21,topic9
The Big Lottery Fund,2012,0.773435393071,1178304.0,23,topic9
The Big Lottery Fund,2013,0.905225633514,4113625.1,27,topic9
The Big Lottery Fund,2014,2.37767231488,2569095.32,63,topic9
The Big Lottery Fund,2015,1.92693391436,972129.89,55,topic9
The Big Lottery Fund,2016,2.00611659265,3248109.0,58,topic9
The Big Lottery Fund,2017,1.48383413772,1109430.0,44,topic9
The Dulverton Trust,2017,0.0426367865261,35000.0,1,topic9
The Dunhill Medical Trust,2016,0.0319890296757,85166.0,1,topic9
The Henry Smith Charity ,2014,0.0315343552064,50000.0,1,topic9
The Henry Smith Charity ,2015,0.0316780900324,10000.0,1,topic9
The Henry Smith Charity ,2016,0.0353577571664,105000.0,1,topic9
The Robertson Trust,2016,0.0628620444741,24000.0,2,topic9
The Robertson Trust,2017,0.0429060057841,22000.0,1,topic9
The Tudor Trust,2013,0.0358946528765,60000.0,1,topic9
The Tudor Trust,2014,0.0342054535087,50000.0,1,topic9
The Tudor Trust,2016,0.0346438813916,20000.0,1,topic9
The Wellcome Trust,2007,0.0686539802311,11250.0,2,topic9
The Wellcome Trust,2009,0.067682865591,344157.0,2,topic9
The Wellcome Trust,2010,0.0312275955423,180783.0,1,topic9
The Wellcome Trust,2011,0.033525420513,29978.0,1,topic9
The Wellcome Trust,2012,0.068045963995,20655489.0,2,topic9
The Wellcome Trust,2013,0.180435230491,446639.0,5,topic9
The Wellcome Trust,2014,0.0777405259669,350957.0,2,topic9
The Wellcome Trust,2015,0.0320069559472,4160.0,1,topic9
The Wellcome Trust,2016,0.203210041562,4567208.0,6,topic9
Trafford Housing Trust Social Investment,2016,0.0756587306759,10583.0,2,topic9
Woodward Charitable Trust,2000,0.0426367865261,1240.0,1,topic9
Woodward Charitable Trust,2017,0.0342233691392,500.0,1,topic9
