Identifier,Title,Description,Award Date,Amount Awarded,Funding Org:Identifier,Funding Org:Name,DocumentWeight
360G-blf-0031029255,'The Temperance Hall' - Llangathen's Village Hall,'The Temperance Hall' - Llangathen's Village Hall,2015-11-25T00:00:00+00:00,49800.0,360G-blf,The Big Lottery Fund,0.0523594365277
360G-blf-0031016400,Tysoe Village Hall goes 21st Century - A Hall for All,Not Available,2014-11-19,9933.0,360G-blf,The Big Lottery Fund,0.0523594365277
360G-blf-0031013221,Beckley Village - New Hall or no Hall!,Not Available,2014-08-22,477405.0,360G-blf,The Big Lottery Fund,0.0523594365277
360G-blf-0031002060,Beckley Village - New Hall or no Hall!,No press release available in this release,2013-12-17,17595.0,360G-blf,The Big Lottery Fund,0.0523594365277
360G-blf-0031009886,Decorating the main hall in Culter Village Hall,Not Available,2014-06-10,9400.0,360G-blf,The Big Lottery Fund,0.0523594365277
360G-blf-0030095081,Leigh Village Hall- Audio Loop/PA Project,This village hall group will use an award to install an Induction loop and PA system. The Introduction of a Loop system will improve the village hall's facilities and increase the amount of people who can use the hall.,2009-05-08,3296.0,360G-blf,The Big Lottery Fund,0.0523399942925
360G-blf-0030040068,Hall Refurbishment 2006,The project is to improve the facilities of the village hall. The money is for new seats and window blinds.,2006-08-15,4506.0,360G-blf,The Big Lottery Fund,0.0510523690156
360G-blf-0030009673,Refurbishment of the Village Hall,A project to improve facilities at this Village Hall situated in Telford.,2007-05-15,4190.0,360G-blf,The Big Lottery Fund,0.0506887757327
360G-blf-0031009552,Dry Drayton Village Hall; Refurbishment of the Main Hall,Not Available,2014-06-04,4890.0,360G-blf,The Big Lottery Fund,0.0501886777802
360G-blf-0031020068,Renovation of Eardington Village Hall,Not Available,2015-03-11,9880.0,360G-blf,The Big Lottery Fund,0.0500558302965
360G-blf-0030010555,New Notice Board,This village hall will purchase a new notice board.,2007-05-30,465.0,360G-blf,The Big Lottery Fund,0.0500558302965
360G-CFTyneWearNland-170784,Towards Village Hall Notice Board,Towards Village Hall Notice Board,2016-10-17T00:00:00+00:00,2200.0,GB-COH-02273708,Community Foundation serving Tyne & Wear and Northumberland,0.0500558302965
360G-blf-0031013730,Wootton Wawen Village Hall Roofing Project,Not Available,2014-09-10,10000.0,360G-blf,The Big Lottery Fund,0.0500558302965
360G-CFSurrey-A441813,Redecoration (painting) of the village hall,Grant to support the redecoration (painting) of the auditorium of a Village Hall.,2017-03-30T00:00:00+00:00,1670.0,GB-CHC-1111600,Community Foundation for Surrey,0.0500558302965
360G-blf-0031017533,Oving Village Hall,Not Available,2014-12-17,3825.0,360G-blf,The Big Lottery Fund,0.0500558302965
360G-CFTyneWearNland-160404,Towards Eglingham Village Hall's 100th Birthday Celebrations,Towards Eglingham Village Hall's 100th Birthday Celebrations,2015-06-08T00:00:00+00:00,1785.0,GB-COH-02273708,Community Foundation serving Tyne & Wear and Northumberland,0.0500558302965
360G-blf-0031014560,Lowick Village Hall Courtyard Restoration,Not Available,2014-10-01,10000.0,360G-blf,The Big Lottery Fund,0.0500558302965
360G-blf-0031011755,Wetherden Village Hall Insulation Project,Not Available,2014-07-16,10000.0,360G-blf,The Big Lottery Fund,0.0500558302965
360G-blf-0031027376,Upgrading Friog and Fairbourne Village Hall,Upgrading Friog and Fairbourne Village Hall,2015-09-17T00:00:00+00:00,247840.0,360G-blf,The Big Lottery Fund,0.0500558302965
360G-blf-0031011358,Wacton Village Hall Rebuilding Project,Not Available,2014-07-09,10000.0,360G-blf,The Big Lottery Fund,0.0500558302965
360G-dulverton-006D000000MJrD5,Towards the rebuilding of the village hall,Towards the rebuilding of the village hall,2005-10-26T00:00:00+00:00,1000.0,GB-COH-07991677,The Dulverton Trust,0.0500558302965
360G-blf-0031020390,Foxholes Village Hall,Not Available,2015-03-23,499569.0,360G-blf,The Big Lottery Fund,0.0500558302965
360G-blf-0031013219,Foxholes Village Hall,Not Available,2014-08-22,16800.0,360G-blf,The Big Lottery Fund,0.0500558302965
360G-blf-0031018003,Barkham Village Hall renewal of exterior doors and door frames.,Not Available,2015-01-14,10000.0,360G-blf,The Big Lottery Fund,0.0500558302965
360G-blf-0031006294,A Village Hall for the 21st Century,A Village Hall for the 21st Century,2014-01-31,210409.0,360G-blf,The Big Lottery Fund,0.0500558302965
360G-blf-0031042844,Village Hall Enhancement,Village Hall Enhancement,2016-11-29T00:00:00+00:00,10000.0,360G-blf,The Big Lottery Fund,0.0500558302965
360G-dulverton-006D000000MJrLw,the Lythe Village Hall Development Appeal,the Lythe Village Hall Development Appeal,2007-10-25T00:00:00+00:00,2000.0,GB-COH-07991677,The Dulverton Trust,0.0500558302965
360G-blf-0031019880,Ashurst Village Hall,Not Available,2015-03-04,8886.0,360G-blf,The Big Lottery Fund,0.0500558302965
360G-blf-0031016982,Equipping the new village hall in Maplebeck,Not Available,2014-12-03,9500.0,360G-blf,The Big Lottery Fund,0.0500558302965
360G-blf-0030110621,Gartmore Village Hall Development,This group received development funding for the Gartmore Village Hall Development project.,2012-07-20,11374.0,360G-blf,The Big Lottery Fund,0.0500558302965
360G-woodward:WCT335,Village Hall,Donation towards the village hall.,1999-10-27,3000.0,GB-CHC-299963,Woodward Charitable Trust,0.0500558302965
360G-blf-0031015352,Parking well at Ashton Hayes Village Hall,Not Available,2014-10-22,10000.0,360G-blf,The Big Lottery Fund,0.0500558302965
360G-blf-0031014374,New Staging for Thorganby Village Hall,Not Available,2014-09-24,4947.6,360G-blf,The Big Lottery Fund,0.0500558302965
360G-blf-0031013220,Mareham-le-Fen Village Hall,Not Available,2014-08-22,456225.0,360G-blf,The Big Lottery Fund,0.0500558302965
