Identifier,Title,Description,Award Date,Amount Awarded,Funding Org:Identifier,Funding Org:Name,DocumentWeight
360G-blf-0031012841,Programme of social activities,Not Available,2014-08-13,1840.0,360G-blf,The Big Lottery Fund,0.0419407376193
360G-blf-0031014724,MS Social Group Activities,Not Available,2014-10-02,4910.0,360G-blf,The Big Lottery Fund,0.0419407376193
360G-blf-0031017665,Llys Ffynnon Social Activities,Not Available,2014-12-21,3620.0,360G-blf,The Big Lottery Fund,0.0419407376193
360G-blf-0031014354,Social Activities,Not Available,2014-09-24,2500.0,360G-blf,The Big Lottery Fund,0.0419407376193
360G-dulverton-006D000000MJrXY,Man and Boy group work and activities with fathers and sons,Man and Boy group work and activities with fathers and sons,2010-10-26T00:00:00+00:00,2500.0,GB-COH-07991677,The Dulverton Trust,0.0390727266309
360G-blf-0031026768,Tea in the Pot ( TiTP),This group will use the funding to develop their activities programme.,2015-09-08T00:00:00+00:00,9430.0,360G-blf,The Big Lottery Fund,0.0390727266309
360G-CFTyneWearNland-170551,Towards Walking activities,Towards Walking activities,2016-10-27T00:00:00+00:00,1520.0,GB-COH-02273708,Community Foundation serving Tyne & Wear and Northumberland,0.0390727266309
360G-blf-0031025485,Transitional activities,Transitional activities,2015-08-05T00:00:00+00:00,9900.0,360G-blf,The Big Lottery Fund,0.0390727266309
360G-blf-0031018629,Over 50s Activities,Not Available,2015-01-28,2640.0,360G-blf,The Big Lottery Fund,0.0390727266309
360G-CFTyneWearNland-160206,Towards Continuation funding for programme of activities,Towards Continuation funding for programme of activities,2015-06-14T00:00:00+00:00,1905.0,GB-COH-02273708,Community Foundation serving Tyne & Wear and Northumberland,0.0390727266309
360G-blf-0031019478,Integrating the Generations - Activities for All,Not Available,2015-02-24,10000.0,360G-blf,The Big Lottery Fund,0.0390727266309
360G-blf-0031010194,The Welcome Project - The Welcome Project Activities,Not Available,2014-06-11,9886.0,360G-blf,The Big Lottery Fund,0.0390727266309
360G-blf-0030079209,Thrifty Fifty Quilters,The project is to develop the activities of a quilting group. The money is for sewing machines.,2009-02-13,1140.0,360G-blf,The Big Lottery Fund,0.0390727266309
360G-blf-0031009720,Under 5's Activities,Not Available,2014-06-04,8232.0,360G-blf,The Big Lottery Fund,0.0390727266309
360G-blf-0031009517,Laurence Deacon communal lounge activities,Not Available,2014-06-04,9943.0,360G-blf,The Big Lottery Fund,0.0390727266309
360G-CFTyneWearNland-170517,Towards Speech after stroke  activities,Towards Speech after stroke  activities,2016-07-27T00:00:00+00:00,3000.0,GB-COH-02273708,Community Foundation serving Tyne & Wear and Northumberland,0.0390727266309
360G-blf-0031022967,Activities Project,Activities Project,2015-06-08T00:00:00+00:00,4150.0,360G-blf,The Big Lottery Fund,0.0390727266309
360G-QuartetCF-A411798,Grant to Alive Activities Ltd,As requested by the donor,2016-06-03T00:00:00+00:00,350.0,GB-CHC-1080418,Quartet Community Foundation,0.0390727266309
360G-CFTyneWearNland-160092,Towards the activities of the Blooming Well project,Towards the activities of the Blooming Well project,2015-04-21T00:00:00+00:00,350.0,GB-COH-02273708,Community Foundation serving Tyne & Wear and Northumberland,0.0390727266309
360G-blf-0031052192,Activities Project,Activities Project,2017-08-15,5000.0,360G-blf,The Big Lottery Fund,0.0390727266309
360G-QuartetCF-A441740,Grant to Alive Activities Ltd,As requested by the donor.,2017-03-30T00:00:00+00:00,500.0,GB-CHC-1080418,Quartet Community Foundation,0.0390727266309
360G-blf-0031044971,Friendship Group Activities,Friendship Group Activities,2017-01-25T00:00:00+00:00,3839.0,360G-blf,The Big Lottery Fund,0.0390727266309
360G-blf-0031025676,New Activities at New Hope,New Activities at New Hope,2015-08-12T00:00:00+00:00,5108.0,360G-blf,The Big Lottery Fund,0.0390727266309
360G-blf-0031021917,Llandybie OAP Activities,Llandybie OAP Activities,2015-05-10T00:00:00+00:00,5000.0,360G-blf,The Big Lottery Fund,0.0390727266309
360G-blf-0031016769,Activities for MECC Sevice User Project,Not Available,2014-12-01,10000.0,360G-blf,The Big Lottery Fund,0.0390727266309
360G-blf-0031016351,Cambridge Five Lotus Activities for Well Being,Not Available,2014-11-19,9745.0,360G-blf,The Big Lottery Fund,0.0390727266309
360G-blf-0031018798,Activities for All,Not Available,2015-02-04,9900.0,360G-blf,The Big Lottery Fund,0.0390727266309
