Identifier,Title,Description,Award Date,Amount Awarded,Funding Org:Identifier,Funding Org:Name,DocumentWeight
360G-blf-AVR_1_010122893,Heroes Return,A Second World War Veteran from Ayshire has been awarded a grant towards travel costs for a commemorative visit to India in January of this year. Funding has also been provided for a spouse and a carer to travel with the Veteran.,2004-12-06,3150.0,360G-blf,The Big Lottery Fund,0.0474653071605
360G-blf-AVR_1_010132845,Heroes Return,A Second World War Veteran from Chelmsford has been awarded a grant towards travel costs for a commemorative visit to Russia in May of this year. Funding has also been provided for a spouse and a carer to travel with the Veteran.,2005-01-10,3150.0,360G-blf,The Big Lottery Fund,0.0474653071605
360G-blf-AVR_1_010148122,Heroes Return,A Second World War Veteran from Southport has been awarded a grant towards travel costs for a commemorative visit to Gibraltar in May of this year. Funding has also been provided for a spouse and a carer to travel with the Veteran.,2005-05-02,1300.0,360G-blf,The Big Lottery Fund,0.0474653071605
360G-blf-AVR_1_010110571,Heroes Return,A Second World War Veteran from Wolverhampton has been awarded a grant towards travel costs for a commemorative visit to Burma in February of next year. Funding has also been provided for a spouse and a carer to travel with the Veteran ,2004-09-06,3150.0,360G-blf,The Big Lottery Fund,0.0474653071605
360G-blf-AVR_1_010134101,Heroes Return,A Second World War Veteran from Rustington has been awarded a grant towards travel costs for a commemorative visit to Sri Lanka in January of next year. Funding has also been provided for a spouse and a carer to travel with the Veteran.,2004-11-29,3150.0,360G-blf,The Big Lottery Fund,0.0474653071605
360G-blf-AVR_1_010139082,Heroes Return,A Second World War Veteran from Colchester has been awarded a grant towards travel costs for a commemorative visit to India in December of this year. Funding has also been provided for a spouse and a carer to travel with the Veteran.,2004-12-20,3150.0,360G-blf,The Big Lottery Fund,0.0474653071605
360G-blf-AVR_1_010124129,Heroes Return,A Second World War Veteran from Newport has been awarded a grant towards travel costs for a commemorative visit to Burma in January of next year. Funding has also been provided for a spouse and a carer to travel with the Veteran.,2004-11-22,3150.0,360G-blf,The Big Lottery Fund,0.0474653071605
360G-blf-AVR_1_010147405,Heroes Return,A Second World War Veteran from Newport has been awarded a grant towards travel costs for a commemorative visit to Jersey in May of this year. Funding has also been provided for a spouse and a carer to travel with the Veteran.,2005-03-21,780.0,360G-blf,The Big Lottery Fund,0.0474653071605
360G-blf-AVR_1_010146881,Heroes Return,A Second World War Veteran from Surrey has been awarded a grant towards travel costs for a commemorative visit to Germany in May of this year. Funding has also been provided for a spouse and a carer to travel with the Veteran.,2005-03-21,780.0,360G-blf,The Big Lottery Fund,0.0474653071605
360G-blf-AVR_1_010138406,Heroes Return,A Second World War Veteran from Maybole has been awarded a grant towards travel costs for a commemorative visit to Norway in March of this year. Funding has also been provided for a spouse and a carer to travel with the Veteran.,2005-06-13,1850.0,360G-blf,The Big Lottery Fund,0.0474653071605
