Funding Org:Name,Date,DocumentWeight,Amount Awarded,Identifier,Topic
Barrow Cadbury Trust,2013,0.0814516216704,5000.0,2,topic8
City Bridge Trust,2014,0.0337327670563,101000.0,1,topic8
City Bridge Trust,2018,0.0345815230806,69600.0,1,topic8
Comic Relief ,2015,0.0413974075292,105000.0,1,topic8
Comic Relief ,2016,0.0367599933259,40000.0,1,topic8
Community Foundation serving Tyne & Wear and Northumberland,2015,0.80864911726,171813.54,22,topic8
Community Foundation serving Tyne & Wear and Northumberland,2016,0.39527034058,81100.0,12,topic8
Community Foundation serving Tyne & Wear and Northumberland,2017,0.114349216169,1700.0,3,topic8
Esmée Fairbairn Foundation,2008,0.0407258108352,50000.0,1,topic8
Esmée Fairbairn Foundation,2009,0.26633873277,657255.0,7,topic8
Esmée Fairbairn Foundation,2010,0.256016702239,351807.0,7,topic8
Esmée Fairbairn Foundation,2011,0.0816566607271,105000.0,2,topic8
Esmée Fairbairn Foundation,2012,0.0407258108352,20000.0,1,topic8
Esmée Fairbairn Foundation,2017,0.0333365664632,150000.0,1,topic8
Essex Community Foundation,2018,0.0326997570692,2865.0,1,topic8
Heart Of England Community Foundation,2017,0.0736234053338,1000.0,2,topic8
Indigo Trust,2002,0.0407258108352,20000.0,1,topic8
Indigo Trust,2004,0.0792524574975,244809.0,2,topic8
Indigo Trust,2005,0.0407258108352,14000.0,1,topic8
Indigo Trust,2009,0.0407258108352,120000.0,1,topic8
Indigo Trust,2011,0.0330003745068,30750.0,1,topic8
Indigo Trust,2012,0.0331172350107,15000.0,1,topic8
Lloyds Bank Foundation for England and Wales,2010,1.71020344349,1217900.0,49,topic8
Lloyds Bank Foundation for England and Wales,2011,1.53090331281,1264200.0,43,topic8
Lloyds Bank Foundation for England and Wales,2012,1.61883047311,1012000.0,45,topic8
Lloyds Bank Foundation for England and Wales,2015,0.040082270762,75000.0,1,topic8
Oxfordshire Community Foundation,2013,0.0666247703222,1800.0,2,topic8
Oxfordshire Community Foundation,2015,0.0407258108352,10000.0,1,topic8
Oxfordshire Community Foundation,2017,0.0407258108352,500.0,1,topic8
Quartet Community Foundation,2016,0.0328975944986,250.0,1,topic8
Tedworth Charitable Trust,2017,0.146834322124,60000.0,4,topic8
Tedworth Charitable Trust,2018,0.0657951889972,50000.0,2,topic8
The Big Lottery Fund,2004,0.0333474695641,5000.0,1,topic8
The Big Lottery Fund,2005,0.0335052332015,5000.0,1,topic8
The Big Lottery Fund,2006,0.0324763848476,53043.0,1,topic8
The Big Lottery Fund,2008,0.100688546242,18049.0,3,topic8
The Big Lottery Fund,2009,0.0371254659159,10000.0,1,topic8
The Big Lottery Fund,2011,0.0320789738869,7220.0,1,topic8
The Big Lottery Fund,2015,0.0657951889972,7673.0,2,topic8
The David & Elaine Potter Foundation,2015,0.0407258108352,5000.0,1,topic8
The Dulverton Trust,2005,0.2537678105,19000.0,7,topic8
The Dulverton Trust,2006,0.0986927834958,16500.0,3,topic8
The Dulverton Trust,2007,0.302321837672,94000.0,8,topic8
The Dulverton Trust,2008,0.197385566992,22000.0,6,topic8
The Dulverton Trust,2009,0.286665404999,105950.0,8,topic8
The Dulverton Trust,2010,0.197385566992,42500.0,6,topic8
The Dulverton Trust,2011,0.106520999832,22000.0,3,topic8
The Dulverton Trust,2012,0.0328975944986,10000.0,1,topic8
The Dulverton Trust,2013,0.0328975944986,1500.0,1,topic8
The Dulverton Trust,2014,0.139418594331,81000.0,4,topic8
The Joseph Rank Trust,2017,0.164487972493,177000.0,5,topic8
The Robertson Trust,2015,1.48150295816,981000.0,41,topic8
The Robertson Trust,2016,1.91685720717,1565500.0,53,topic8
The Robertson Trust,2017,2.94961277472,2739500.0,82,topic8
The Robertson Trust,2018,0.536302747529,431000.0,15,topic8
The Tudor Trust,2014,0.0321365806525,90000.0,1,topic8
The Wellcome Trust,2011,0.0407258108352,406800.0,1,topic8
The Wellcome Trust,2015,0.0407258108352,135600.0,1,topic8
Three Guineas Trust,2016,0.0320821525635,176000.0,1,topic8
Trafford Housing Trust Social Investment,2014,0.0328975944986,14000.0,1,topic8
True Colours Trust,2014,0.0328975944986,3100.0,1,topic8
True Colours Trust,2015,0.072823342884,92430.0,2,topic8
True Colours Trust,2016,0.0348076219653,150000.0,1,topic8
True Colours Trust,2017,0.0407258108352,11424.0,1,topic8
Woodward Charitable Trust,1997,0.0328975944986,18050.0,1,topic8
Woodward Charitable Trust,1999,0.114349216169,8000.0,3,topic8
Woodward Charitable Trust,2005,0.0328975944986,2286.0,1,topic8
Woodward Charitable Trust,2007,0.0655984370446,22915.0,2,topic8
Woodward Charitable Trust,2012,0.0336647377891,1500.0,1,topic8
Woodward Charitable Trust,2013,0.0407258108352,2000.0,1,topic8
Woodward Charitable Trust,2014,0.0371873126875,3160.0,1,topic8
Woodward Charitable Trust,2015,0.0328975944986,500.0,1,topic8
Woodward Charitable Trust,2016,0.0750456796544,1500.0,2,topic8
Woodward Charitable Trust,2017,0.115020812863,2000.0,3,topic8
