Identifier,Title,Description,Award Date,Amount Awarded,Funding Org:Identifier,Funding Org:Name,DocumentWeight
360G-LloydsRegisterFdn-G0107,RNLI crew training 2016-2020,Training for volunteer lifeboat crews in sea survival skills,2015-12-01T00:00:00+00:00,1059128.0,GB-CHC-1145988,Lloyd's Register Foundation,0.0407259346041
360G-woodward:WCT2169,Towards the Cook & Eat Well skills training.,Towards the Cook & Eat Well skills training.,2016-11-07,1000.0,GB-CHC-299963,Woodward Charitable Trust,0.040439516537
360G-dulverton-006D000000MJp4g,Sail Training Bursaries,Sail Training Bursaries,2011-10-26T00:00:00+00:00,30000.0,GB-COH-07991677,The Dulverton Trust,0.0400878301468
360G-dulverton-006D000000t3JmL,Informal training scheme,Informal training scheme,2017-10-24T00:00:00+00:00,3000.0,GB-COH-07991677,The Dulverton Trust,0.0400878301468
360G-blf-0031044936,Educate to empower; Fragile X Syndrome resources and training.,Educate to empower; Fragile X Syndrome resources and training.,2017-01-25T00:00:00+00:00,9661.0,360G-blf,The Big Lottery Fund,0.0400878301468
360G-blf-0030065369,SEAHP Relaunch and Training,SEAHP Relaunch and Training,2013-05-02,8550.0,360G-blf,The Big Lottery Fund,0.0400878301468
360G-RobertsonTrust-006b000000Q0Kt5AAF,Graduate Training Programme.,Graduate Training Programme.,2017-07-25T00:00:00+00:00,30000.0,GB-SC-SC002970,The Robertson Trust,0.0400878301468
360G-dulverton-006D000000MJrCr,Towards sail training bursaries,Towards sail training bursaries,2005-07-20T00:00:00+00:00,25000.0,GB-COH-07991677,The Dulverton Trust,0.0400878301468
360G-blf-0031014341,"Telephone, Groupwork and Supervision Training",Not Available,2014-09-24,7370.0,360G-blf,The Big Lottery Fund,0.0400878301468
360G-woodward:WCT164,Re-Dev Training Cent,Re-Dev Training Cent,1998-02-02,5000.0,GB-CHC-299963,Woodward Charitable Trust,0.0400878301468
360G-blf-0031010097,"Citizenship For All, 7 Keys Training",Not Available,2014-06-11,9904.0,360G-blf,The Big Lottery Fund,0.0400878301468
360G-dulverton-006D000000nFUQm,Emmaus Companion Training Fund,Emmaus Companion Training Fund,2016-06-08T00:00:00+00:00,60000.0,GB-COH-07991677,The Dulverton Trust,0.0400878301468
360G-dulverton-006D000000MJrUc,sail training bursaries,sail training bursaries,2009-10-22T00:00:00+00:00,30000.0,GB-COH-07991677,The Dulverton Trust,0.0400878301468
360G-ocf-a061600000fzO0f,The OAL Project,New laptops and training new tutors,2015-04-27T00:00:00+00:00,1471.5,GB-CHC-1151621,Oxfordshire Community Foundation,0.0400878301468
360G-blf-0031012864,Activity and Training programme,Not Available,2014-08-13,7500.0,360G-blf,The Big Lottery Fund,0.0400878301468
360G-dulverton-006D000000MJrTD,training for Trustees about mergers,training for Trustees about mergers,2009-05-07T00:00:00+00:00,15000.0,GB-COH-07991677,The Dulverton Trust,0.0400878301468
360G-dulverton-006D000000MJrF6,Towards the vocational training programme,Towards the vocational training programme,2006-02-02T00:00:00+00:00,16000.0,GB-COH-07991677,The Dulverton Trust,0.0400878301468
360G-blf-0031012964,Training for Shedders,Not Available,2014-08-13,9414.0,360G-blf,The Big Lottery Fund,0.0400878301468
