Funding Org:Name,Date,DocumentWeight,Amount Awarded,Identifier,Topic
BBC Children in Need,2015,0.0292074198732,3610.0,1,topic2
Birmingham City Council,2014,0.0335133938211,1640.0,1,topic2
Birmingham City Council,2015,0.0335133938211,820.0,1,topic2
Co-operative Group,2017,0.247253623908,18340.21,8,topic2
Comic Relief ,2017,0.0322974459447,36446.0,1,topic2
Community Foundation serving Tyne & Wear and Northumberland,2015,0.138625324062,17100.0,4,topic2
Community Foundation serving Tyne & Wear and Northumberland,2016,0.0750519359165,10750.0,2,topic2
Essex Community Foundation,2017,0.0360225405074,4563.0,1,topic2
Heart Of England Community Foundation,2016,0.0448328536921,2000.0,1,topic2
Heart Of England Community Foundation,2017,0.034088072045,2000.0,1,topic2
Nesta,2016,0.0896657073842,10000.0,2,topic2
Nesta,2017,0.0896657073842,11000.0,2,topic2
Oxfordshire Community Foundation,2016,0.0326037063619,2000.0,1,topic2
Paul Hamlyn Foundation,2006,0.0360774609619,4725.0,1,topic2
Paul Hamlyn Foundation,2012,0.0294232349431,172734.0,1,topic2
Paul Hamlyn Foundation,2014,0.0448328536921,10000.0,1,topic2
Pears Foundation,2016,0.0448328536921,20000.0,1,topic2
Quartet Community Foundation,2016,0.0448328536921,3200.0,1,topic2
Quartet Community Foundation,2017,0.0773891953669,10000.0,2,topic2
Tedworth Charitable Trust,2018,0.0448328536921,5000.0,1,topic2
The Big Lottery Fund,2004,1.09280659318,3594573.0,35,topic2
The Big Lottery Fund,2005,0.434063738513,318349.0,14,topic2
The Big Lottery Fund,2006,1.3763342832,226717.0,43,topic2
The Big Lottery Fund,2007,0.758222793898,139657.0,24,topic2
The Big Lottery Fund,2008,1.46682459577,386551.0,46,topic2
The Big Lottery Fund,2009,0.855506899951,224023.0,27,topic2
The Big Lottery Fund,2010,1.09416197044,214921.0,34,topic2
The Big Lottery Fund,2011,1.41922741792,381643.0,45,topic2
The Big Lottery Fund,2012,1.0829280785,272814.0,35,topic2
The Big Lottery Fund,2013,1.05565045045,218688.23,33,topic2
The Big Lottery Fund,2014,2.30647741159,878886.17,64,topic2
The Big Lottery Fund,2015,0.496537347492,136165.0,14,topic2
The Big Lottery Fund,2016,0.45482655454,300367.0,13,topic2
The Big Lottery Fund,2017,0.373098819073,178539.0,11,topic2
The Dulverton Trust,2006,0.0789209257371,50000.0,2,topic2
The Dulverton Trust,2008,0.123753779429,70900.0,3,topic2
The Dulverton Trust,2010,0.034088072045,25000.0,1,topic2
The Dulverton Trust,2015,0.0448328536921,20000.0,1,topic2
The Henry Smith Charity ,2012,0.0297669093927,300.0,1,topic2
The Robertson Trust,2015,0.034088072045,20000.0,1,topic2
The Robertson Trust,2016,0.0448328536921,8500.0,1,topic2
Walcot Foundation,2012,0.0448328536921,60000.0,1,topic2
Walcot Foundation,2013,0.06817614409,4380.0,2,topic2
Walcot Foundation,2014,0.0896657073842,2270.0,2,topic2
Walcot Foundation,2015,0.0750519359165,2220.0,2,topic2
Walcot Foundation,2016,0.0448328536921,2500.0,1,topic2
Walcot Foundation,2017,0.0448328536921,6105.0,1,topic2
Wolfson Foundation,2014,0.0448328536921,32000.0,1,topic2
Wolfson Foundation,2015,0.142308187655,106000.0,4,topic2
Wolfson Foundation,2016,0.0756147967072,65000.0,2,topic2
Woodward Charitable Trust,2012,0.0448328536921,1302.0,1,topic2
Woodward Charitable Trust,2018,0.037200697051,7500.0,1,topic2
